model,case,size,bks,pred,gap_pct,miss,over,rout,mcap,time,prec,total,feasible
qwen2_lora,ft10,10x10,930,1847,98.6022,0,64,66,29,27,18,204,False
qwen2_lora,ft20,20x5,1165,3083,164.6352,14,32,30,6,30,3,115,False
qwen2_lora,la01,10x5,666,720,8.1081,6,2,26,9,12,7,62,False
qwen2_lora,la02,10x5,655,1134,73.1298,4,1,12,1,10,0,28,False
qwen2_lora,la03,10x5,597,1091,82.7471,3,1,14,2,8,0,28,False
qwen2_lora,la04,10x5,590,1059,79.4915,4,3,27,4,8,5,51,False
qwen2_lora,la05,10x5,593,798,34.5700,6,5,13,4,15,1,44,False
qwen2_lora,la06,15x5,926,1631,76.1339,1,25,24,11,26,3,90,False
qwen2_lora,la07,15x5,890,1616,81.5730,3,13,26,7,19,1,69,False
qwen2_lora,la08,15x5,863,3360,289.3395,0,66,37,48,37,4,192,False
qwen2_lora,la09,15x5,951,1842,93.6909,0,56,27,41,35,8,167,False
qwen2_lora,la10,15x5,958,1489,55.4280,7,32,20,17,22,4,102,False
qwen2_lora,la16,10x10,945,3896,312.2751,0,165,85,99,70,24,443,False
qwen2_lora,la17,10x10,784,2687,242.7296,0,231,65,94,75,29,494,False
qwen2_lora,la18,10x10,848,5938,600.2358,0,278,62,79,107,16,542,False
qwen2_lora,la19,10x10,842,7365,774.7031,0,253,60,105,95,19,532,False
qwen2_lora,la20,10x10,902,8036,790.9091,0,273,83,97,111,11,575,False
qwen2_rslora,ft06,6x6,55,68,23.6364,0,0,0,0,0,0,0,True
qwen2_rslora,ft10,10x10,930,5121,450.6452,0,169,39,57,38,12,315,False
qwen2_rslora,ft20,20x5,1165,905,-22.3176,52,1,15,0,4,3,75,False
qwen2_rslora,la01,10x5,666,1001,50.3003,5,0,4,3,4,1,17,False
qwen2_rslora,la02,10x5,655,719,9.7710,4,0,1,0,2,0,7,False
qwen2_rslora,la03,10x5,597,886,48.4087,1,11,2,1,6,1,22,False
qwen2_rslora,la04,10x5,590,651,10.3390,0,0,2,1,4,1,8,False
qwen2_rslora,la05,10x5,593,601,1.3491,0,1,4,2,5,3,15,False
qwen2_rslora,la06,15x5,926,632,-31.7495,34,1,7,0,2,5,49,False
qwen2_rslora,la07,15x5,890,575,-35.3933,30,1,5,4,2,3,45,False
qwen2_rslora,la08,15x5,863,605,-29.8957,31,0,12,3,5,1,52,False
qwen2_rslora,la09,15x5,951,885,-6.9401,28,0,5,2,6,0,41,False
qwen2_rslora,la10,15x5,958,868,-9.3946,26,1,10,2,5,3,47,False
qwen2_rslora,la16,10x10,945,56009,5826.8783,0,166,43,64,50,19,342,False
qwen2_rslora,la17,10x10,784,5621,616.9643,0,158,35,75,65,17,350,False
qwen2_rslora,la18,10x10,848,5329,528.4198,0,180,41,76,43,19,359,False
qwen2_rslora,la19,10x10,842,4190,397.6247,0,42,22,7,20,3,94,False
qwen2_rslora,la20,10x10,902,5360,494.2350,0,122,40,32,31,14,239,False
llama_lora,ft06,6x6,55,59,7.2727,0,0,0,0,0,0,0,True
llama_lora,ft10,10x10,930,1134,21.9355,0,0,1,0,0,0,1,False
llama_lora,ft20,20x5,1165,1765,51.5021,8,26,0,0,0,0,34,False
llama_lora,la01,10x5,666,693,4.0541,0,0,0,0,0,0,0,True
llama_lora,la02,10x5,655,763,16.4885,0,0,0,0,0,0,0,True
